Discipline,Country-Year,Event,Gender,Medal Type,Country,NOC
Table Tennis,paris-2024,Mixed Doubles,,,ACHANTA Kamal / BATRA Manika,India
Table Tennis,paris-2024,Mixed Doubles,,,ASSAR Omar / MESHREF Dina,Egypt
Beach Volleyball,paris-2024,Men,,,Abicha/Elgraoui,Morocco
Taekwondo,london-2012,58 - 68 kg men,Men,BRONZE,Afghanistan,
Taekwondo,beijing-2008,Beijing 2008 Taekwondo - 58 kg men,Men,BRONZE,Afghanistan,
Beach Volleyball,paris-2024,Women,,,Agatha/Duda,Brazil
Athletics,atlanta-1996,1500m men,Men,GOLD,Algeria,
Athletics,london-2012,1500m men,Men,GOLD,Algeria,
Athletics,rio-2016,1500m men,Men,SILVER,Algeria,
Athletics,barcelona-1992,1500m women,Women,GOLD,Algeria,
Athletics,sydney-2000,1500m women,Women,GOLD,Algeria,
Athletics,sydney-2000,5000m men,Men,SILVER,Algeria,
Athletics,rio-2016,800m men,Men,SILVER,Algeria,
Athletics,sydney-2000,800m men,Men,BRONZE,Algeria,
Athletics,sydney-2000,high jump men,Men,BRONZE,Algeria,
Boxing,barcelona-1992,54-57kg featherweight men,Men,BRONZE,Algeria,
Boxing,atlanta-1996,57-60kg lightweight men,Men,GOLD,Algeria,
Boxing,sydney-2000,60-63.5kg lightwelterweigh men,Men,BRONZE,Algeria,
Boxing,atlanta-1996,71-75kg men,Men,BRONZE,Algeria,
Boxing,los-angeles-1984,71-75kg men,Men,BRONZE,Algeria,
Boxing,los-angeles-1984,75-81kg lightheavyweight men,Men,BRONZE,Algeria,
Judo,beijing-2008,48  52kg halflightweight women,Women,BRONZE,Algeria,
Judo,beijing-2008,81  90kg middleweight men,Men,SILVER,Algeria,
Beach Volleyball,paris-2024,Men,,,Alison/Alvaro Filho,Brazil
Beach Volleyball,paris-2024,Women,,,Ana Patricia/Rebecca,Brazil
Handball,paris-2024,Women,,,Angola,Angola
Beach Volleyball,paris-2024,Women,,,April/Alix,United States of America
Athletics,london-1948,long jump women,Women,SILVER,Argentina,
Athletics,helsinki-1952,marathon men,Men,SILVER,Argentina,
Athletics,london-1948,marathon men,Men,GOLD,Argentina,
Athletics,los-angeles-1932,marathon men,Men,GOLD,Argentina,
Athletics,paris-1924,triple jump men,Men,SILVER,Argentina,
Basketball,paris-2024,Men,,,Argentina,Argentina
Basketball,athens-2004,basketball men,Men,GOLD,Argentina,
Basketball,beijing-2008,basketball men,Men,BRONZE,Argentina,
