Medal_ID,Race_id,event_title,country_name,value_unit,medal_type
8001,1001,Men's 4 x 200m Freestyle Relay,Great Britain,06:59.4,GOLD
8002,1002,Men's 4 x 200m Freestyle Relay,United States of America,07:00.8,SILVER
8003,1003,Men's 4 x 200m Freestyle Relay,Australia,07:02.0,BRONZE
8004,1004,Men's 4 x 100m Freestyle Relay,United States of America,03:09.3,GOLD
8005,1005,Men's 4 x 100m Freestyle Relay,Australia,03:10.3,SILVER
8006,1006,Men's 4 x 100m Freestyle Relay,Italy,03:10.7,BRONZE
8007,1007,Women's 4 x 100m Freestyle Relay,Australia,03:28.9,GOLD
8008,1008,Women's 4 x 100m Freestyle Relay,United States of America,03:30.2,SILVER
8009,1009,Women's 4 x 100m Freestyle Relay,China,03:30.3,BRONZE
8010,1010,Women's 4 x 200m Freestyle Relay,Australia,07:38.1,GOLD
8011,1011,Women's 4 x 200m Freestyle Relay,United States of America,07:40.9,SILVER
8012,1012,Women's 4 x 200m Freestyle Relay,China,07:42.3,BRONZE
8013,1013,Women's 4 x 100m Relay,United States of America,00:41.8,GOLD
8014,1014,Women's 4 x 100m Relay,Great Britain,00:41.8,SILVER
8015,1015,Women's 4 x 100m Relay,Germany,00:42.0,BRONZE
8016,1016,Women's 4 x 400m Relay,United States of America,03:15.3,GOLD
8017,1017,Women's 4 x 400m Relay,Netherlands,03:19.5,SILVER
8018,1018,Women's 4 x 400m Relay,Great Britain,03:19.7,BRONZE
8019,1019,Men's 4 x 100m Relay,Canada,00:37.5,GOLD
8020,1020,Men's 4 x 100m Relay,South Africa team,00:37.6,SILVER
8021,1021,Men's 4 x 100m Relay,Great Britain,00:37.6,BRONZE
8022,1022,Men's 4 x 400m Relay,United States of America,02:54.4,GOLD
8023,1023,Men's 4 x 400m Relay,Botswana,02:54.5,SILVER
8024,1024,Men's 4 x 400m Relay,Great Britain,02:55.8,BRONZE
8025,1025,Women's 4 x 100m Relay,Jamaica,00:42.0,GOLD
8026,1026,Women's 4 x 100m Relay,United States of America,00:41.1,SILVER
8027,1027,Women's 4 x 100m Relay,Great Britain,00:41.1,BRONZE
8028,1028,Women's 4 x 100m Relay,Switzerland,00:42.0,BRONZE
8029,1029,Women's 4 x 100m Relay,Germany,00:42.0,BRONZE
8030,1030,Women's 4 x 100m Relay,People's Republic of China,00:42.1,BRONZE
8031,1031,Women's 4 x 100m Relay,France,00:42.1,BRONZE
8032,1032,Women's 4 x 100m Relay,Netherlands,00:42.1,BRONZE
8033,1033,Women's 4 x 400m Relay,United States of America,03:20.9,GOLD
8034,1034,Women's 4 x 400m Relay,Poland,03:23.1,SILVER
8035,1035,Women's 4 x 400m Relay,Jamaica,03:21.9,BRONZE
8036,1036,Women's 4 x 400m Relay,Canada,03:24.1,BRONZE
8037,1037,Women's 4 x 400m Relay,Great Britain,03:24.0,BRONZE
8038,1038,Women's 4 x 400m Relay,Netherlands,03:24.0,BRONZE
8039,1039,Women's 4 x 400m Relay,Belgium,03:24.1,BRONZE
8040,1040,Women's 4 x 400m Relay,Cuba,03:24.0,BRONZE
8041,1041,Men's 4 x 100m Relay,Italy,00:37.1,GOLD
8042,1042,Men's 4 x 100m Relay,Great Britain,00:38.0,SILVER
8043,1043,Men's 4 x 100m Relay,Canada,00:37.1,BRONZE
