Discipline,Country,Event,Medal Type,Country-Year
Swimming,United States of America,4x100m freestyle relay men,GOLD,los-angeles-1984
Swimming,Soviet Union,4x100m freestyle relay men,SILVER,seoul-1988
Swimming,Soviet Union,4x100m freestyle relay men,SILVER,munich-1972
Swimming,Soviet Union,4x100m freestyle relay men,SILVER,mexico-city-1968
Swimming,France,4x100m freestyle relay men,GOLD,london-2012
Swimming,France,4x100m freestyle relay men,SILVER,beijing-2008
Swimming,United States of America,4x100m freestyle relay men,BRONZE,athens-2004
Swimming,United States of America,4x100m freestyle relay men,GOLD,atlanta-1996
Swimming,United States of America,4x100m freestyle relay men,GOLD,barcelona-1992
Swimming,United States of America,4x100m freestyle relay men,GOLD,beijing-2008
Swimming,German Democratic Republic (Germany),4x100m freestyle relay men,BRONZE,munich-1972
Swimming,United States of America,4x100m freestyle relay men,SILVER,london-2012
Swimming,Russian Federation,4x100m freestyle relay men,SILVER,atlanta-1996
Swimming,Russian Federation,4x100m freestyle relay men,BRONZE,london-2012
Swimming,United States of America,4x100m freestyle relay men,GOLD,mexico-city-1968
Swimming,South Africa,4x100m freestyle relay men,GOLD,athens-2004
Swimming,United States of America,4x100m freestyle relay men,GOLD,munich-1972
Swimming,United States of America,4x100m freestyle relay men,GOLD,seoul-1988
Swimming,United States of America,4x100m freestyle relay men,SILVER,sydney-2000
Swimming,United States of America,4x100m freestyle relay men,GOLD,tokyo-1964
Swimming,Brazil,4x100m freestyle relay men,BRONZE,sydney-2000
Swimming,Unified Team,4x100m freestyle relay men,SILVER,barcelona-1992
Swimming,German Democratic Republic (Germany),4x100m freestyle relay men,BRONZE,seoul-1988
Swimming,Netherlands,4x100m freestyle relay men,SILVER,athens-2004
Swimming,Germany,4x100m freestyle relay men,BRONZE,atlanta-1996
Swimming,Australia,4x100m freestyle relay men,BRONZE,mexico-city-1968
Swimming,Australia,4x100m freestyle relay men,SILVER,los-angeles-1984
Swimming,Australia,4x100m freestyle relay men,BRONZE,beijing-2008
Swimming,Germany,4x100m freestyle relay men,SILVER,tokyo-1964
Swimming,Germany,4x100m freestyle relay men,BRONZE,barcelona-1992
Swimming,Australia,4x100m freestyle relay men,GOLD,sydney-2000
Swimming,Australia,4x100m freestyle relay men,BRONZE,tokyo-1964
