Team_id,discipline_title,event_title,slug_game,country_name
1001,Swimming,Men's 4 x 200m Freestyle Relay,paris-2024,Great Britain
1002,Swimming,Men's 4 x 200m Freestyle Relay,paris-2024,United States of America
1003,Swimming,Men's 4 x 200m Freestyle Relay,paris-2024,Australia
1004,Swimming,Men's 4 x 100m Freestyle Relay,paris-2024,United States of America
1005,Swimming,Men's 4 x 100m Freestyle Relay,paris-2024,Australia
1006,Swimming,Men's 4 x 100m Freestyle Relay,paris-2024,Italy
1007,Swimming,Women's 4 x 100m Freestyle Relay,paris-2024,Australia
1008,Swimming,Women's 4 x 100m Freestyle Relay,paris-2024,United States of America
1009,Swimming,Women's 4 x 100m Freestyle Relay,paris-2024,China
1010,Swimming,Women's 4 x 200m Freestyle Relay,paris-2024,Australia
1011,Swimming,Women's 4 x 200m Freestyle Relay,paris-2024,United States of America
1012,Swimming,Women's 4 x 200m Freestyle Relay,paris-2024,China
1013,Athletics,Women's 4 x 100m Relay,paris-2024,United States of America
1014,Athletics,Women's 4 x 100m Relay,paris-2024,Great Britain
1015,Athletics,Women's 4 x 100m Relay,paris-2024,Germany
1016,Athletics,Women's 4 x 400m Relay,paris-2024,United States of America
1017,Athletics,Women's 4 x 400m Relay,paris-2024,Netherlands
1018,Athletics,Women's 4 x 400m Relay,paris-2024,Great Britain
1019,Athletics,Men's 4 x 100m Relay,paris-2024,Canada
1020,Athletics,Men's 4 x 100m Relay,paris-2024,South Africa team
1021,Athletics,Men's 4 x 100m Relay,paris-2024,Great Britain
1022,Athletics,Men's 4 x 400m Relay,paris-2024,United States of America
1023,Athletics,Men's 4 x 400m Relay,paris-2024,Botswana
1024,Athletics,Men's 4 x 400m Relay,paris-2024,Great Britain
1025,Athletics,Women's 4 x 100m Relay,tokyo-2020,Jamaica
1026,Athletics,Women's 4 x 100m Relay,tokyo-2020,United States of America
1027,Athletics,Women's 4 x 100m Relay,tokyo-2020,Great Britain
1028,Athletics,Women's 4 x 100m Relay,tokyo-2020,Switzerland
1029,Athletics,Women's 4 x 100m Relay,tokyo-2020,Germany
1030,Athletics,Women's 4 x 100m Relay,tokyo-2020,People's Republic of China
1031,Athletics,Women's 4 x 100m Relay,tokyo-2020,France
1032,Athletics,Women's 4 x 100m Relay,tokyo-2020,Netherlands
1033,Athletics,Women's 4 x 400m Relay,tokyo-2020,United States of America
1034,Athletics,Women's 4 x 400m Relay,tokyo-2020,Poland
1035,Athletics,Women's 4 x 400m Relay,tokyo-2020,Jamaica
1036,Athletics,Women's 4 x 400m Relay,tokyo-2020,Canada
1037,Athletics,Women's 4 x 400m Relay,tokyo-2020,Great Britain
1038,Athletics,Women's 4 x 400m Relay,tokyo-2020,Netherlands
1039,Athletics,Women's 4 x 400m Relay,tokyo-2020,Belgium
1040,Athletics,Women's 4 x 400m Relay,tokyo-2020,Cuba
1041,Athletics,Men's 4 x 100m Relay,tokyo-2020,Italy
1042,Athletics,Men's 4 x 100m Relay,tokyo-2020,Great Britain
1043,Athletics,Men's 4 x 100m Relay,tokyo-2020,Canada
1044,Athletics,Men's 4 x 100m Relay,tokyo-2020,People's Republic of China
1045,Athletics,Men's 4 x 100m Relay,tokyo-2020,Jamaica
1046,Athletics,Men's 4 x 100m Relay,tokyo-2020,Germany
1047,Athletics,Men's 4 x 100m Relay,tokyo-2020,Japan
1048,Athletics,Men's 4 x 100m Relay,tokyo-2020,Ghana
1049,Athletics,Men's 4 x 400m Relay,tokyo-2020,United States of America
1050,Athletics,Men's 4 x 400m Relay,tokyo-2020,Netherlands
1051,Athletics,Men's 4 x 400m Relay,tokyo-2020,Botswana
1052,Athletics,Men's 4 x 400m Relay,tokyo-2020,Belgium
1053,Athletics,Men's 4 x 400m Relay,tokyo-2020,Poland
1054,Athletics,Men's 4 x 400m Relay,tokyo-2020,Jamaica
1055,Athletics,Men's 4 x 400m Relay,tokyo-2020,Italy
1056,Athletics,Men's 4 x 400m Relay,tokyo-2020,Trinidad and Tobago
1057,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Great Britain
1058,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,ROC
1059,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Australia
1060,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,United States of America
1061,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Italy
1062,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Switzerland
1063,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Germany
1064,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,Brazil
1065,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,Australia
1066,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,Canada
1067,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,United States of America
1068,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,Netherlands
1069,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,Great Britain
1070,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,Sweden
