discipline_title,event_title,slug_game,medal_type,country_name,value_unit
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,GOLD,Great Britain,00:06:59.430
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,SILVER,United States of America,00:07:0.780
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,Australia,00:07:1.980
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,GOLD,United States of America,00:03:9.280
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,SILVER,Australia,00:03:10.350
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,Italy,00:03:10.700
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,GOLD,Australia,00:03:28.920
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,SILVER,United States of America,00:03:30.200
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,China,00:03:30.300
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,GOLD,Australia,00:07:38.080
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,SILVER,United States of America,00:07:40.860
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,China,00:07:42.340
Athletics,Women's 4 x 100m Relay,Paris-2024,GOLD,United States of America,00:00:41.780
Athletics,Women's 4 x 100m Relay,Paris-2024,SILVER,Great Britain,00:00:41.850
Athletics,Women's 4 x 100m Relay,Paris-2024,BRONZE,Germany,00:00:41.970
Athletics,Women's 4 x 400m Relay,Paris-2024,GOLD,United States of America,00:03:15.270
Athletics,Women's 4 x 400m Relay,Paris-2024,SILVER,Netherlands,00:03:19.500
Athletics,Women's 4 x 400m Relay,Paris-2024,BRONZE,Great Britain,00:03:19.720
Athletics,Men's 4 x 100m Relay,Paris-2024,GOLD,Canada,00:00:37.500
Athletics,Men's 4 x 100m Relay,Paris-2024,SILVER,South Africa team,00:00:37.570
Athletics,Men's 4 x 100m Relay,Paris-2024,BRONZE,Great Britain,00:00:37.610
Athletics,Men's 4 x 400m Relay,Paris-2024,GOLD,United States of America,00:02:54.430
Athletics,Men's 4 x 400m Relay,Paris-2024,SILVER,Botswana,00:02:54.530
