Race_id,discipline_title,event_title,slug_game,medal_type,country_name,value_unit
1001,Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,GOLD,Great Britain,06:59.4
1002,Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,SILVER,United States of America,07:00.8
1003,Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,Australia,07:02.0
1004,Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,GOLD,United States of America,03:09.3
1005,Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,SILVER,Australia,03:10.3
1006,Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,Italy,03:10.7
1007,Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,GOLD,Australia,03:28.9
1008,Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,SILVER,United States of America,03:30.2
1009,Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,China,03:30.3
1010,Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,GOLD,Australia,07:38.1
1011,Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,SILVER,United States of America,07:40.9
1012,Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,China,07:42.3
1013,Athletics,Women's 4 x 100m Relay,Paris-2024,GOLD,United States of America,00:41.8
1014,Athletics,Women's 4 x 100m Relay,Paris-2024,SILVER,Great Britain,00:41.8
1015,Athletics,Women's 4 x 100m Relay,Paris-2024,BRONZE,Germany,00:42.0
1016,Athletics,Women's 4 x 400m Relay,Paris-2024,GOLD,United States of America,03:15.3
1017,Athletics,Women's 4 x 400m Relay,Paris-2024,SILVER,Netherlands,03:19.5
1018,Athletics,Women's 4 x 400m Relay,Paris-2024,BRONZE,Great Britain,03:19.7
1019,Athletics,Men's 4 x 100m Relay,Paris-2024,GOLD,Canada,00:37.5
1020,Athletics,Men's 4 x 100m Relay,Paris-2024,SILVER,South Africa team,00:37.6
1021,Athletics,Men's 4 x 100m Relay,Paris-2024,BRONZE,Great Britain,00:37.6
1022,Athletics,Men's 4 x 400m Relay,Paris-2024,GOLD,United States of America,02:54.4
1023,Athletics,Men's 4 x 400m Relay,Paris-2024,SILVER,Botswana,02:54.5
1024,Athletics,Men's 4 x 400m Relay,Paris-2024,BRONZE,Great Britain,02:55.8
1025,Athletics,Women's 4 x 100m Relay,tokyo-2020,GOLD,Jamaica,00:42.0
1026,Athletics,Women's 4 x 100m Relay,tokyo-2020,SILVER,United States of America,00:41.1
1027,Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,Great Britain,00:41.1
1028,Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,Switzerland,00:42.0
